Country	region	col_plot	samples_names	Locality	Station	Grab	Distance_cage	Depth	AMBI	NSI	ISI	ITI	NQI1	Shannon
Norway	coast	6	FHF6-St2-Gr2-A	Farm_6	2	2	50	NA	5.803082	7.393105	4.916	0.16240357	0.2403855	0.7659571
Norway	coast	6	FHF6-St2-Gr2-B	Farm_6	2	2	50	NA	5.803082	7.393105	4.916	0.16240357	0.2403855	0.7659571
Norway	coast	6	FHF6-St2-Gr2-C	Farm_6	2	2	50	NA	5.803082	7.393105	4.916	0.16240357	0.2403855	0.7659571
Norway	coast	6	FHF6-St2-Gr3D-A	Farm_6	2	3	50	NA	NA	NA	NA	NA	NA	NA
Norway	coast	6	FHF6-St2-Gr3D-B	Farm_6	2	3	50	NA	NA	NA	NA	NA	NA	NA
Norway	coast	6	FHF6-St2-Gr3D-C	Farm_6	2	3	50	NA	NA	NA	NA	NA	NA	NA
Norway	coast	6	FHF6-St3-Gr1-A	Farm_6	3	1	100	NA	5.92215	7.180947	7.076667	0.40574282	0.3272785	0.5240848
Norway	coast	6	FHF6-St3-Gr1-B	Farm_6	3	1	100	NA	5.92215	7.180947	7.076667	0.40574282	0.3272785	0.5240848
Norway	coast	6	FHF6-St3-Gr1-C	Farm_6	3	1	100	NA	5.92215	7.180947	7.076667	0.40574282	0.3272785	0.5240848
Norway	coast	6	FHF6-St3-Gr2-A	Farm_6	3	2	100	NA	5.646028	7.775368	4.49375	0.47805302	0.3085218	1.0181438
Norway	coast	6	FHF6-St3-Gr2-B	Farm_6	3	2	100	NA	5.646028	7.775368	4.49375	0.47805302	0.3085218	1.0181438
Norway	coast	6	FHF6-St3-Gr2-C	Farm_6	3	2	100	NA	5.646028	7.775368	4.49375	0.47805302	0.3085218	1.0181438
Norway	coast	6	FHF6-St3-Gr3D-A	Farm_6	3	3	100	NA	NA	NA	NA	NA	NA	NA
Norway	coast	6	FHF6-St3-Gr3D-B	Farm_6	3	3	100	NA	NA	NA	NA	NA	NA	NA
Norway	coast	6	FHF6-St3-Gr3D-C	Farm_6	3	3	100	NA	NA	NA	NA	NA	NA	NA
Norway	coast	6	FHF6-St4-Gr1-A	Farm_6	4	1	230	86	2.539855	19.316493	8.117	52.88888889	0.6862337	3.6151773
Norway	coast	6	FHF6-St4-Gr1-B	Farm_6	4	1	230	86	2.539855	19.316493	8.117	52.88888889	0.6862337	3.6151773
Norway	coast	6	FHF6-St4-Gr1-C	Farm_6	4	1	230	86	2.539855	19.316493	8.117	52.88888889	0.6862337	3.6151773
Norway	coast	6	FHF6-St4-Gr2-A	Farm_6	4	2	230	86	2.510294	21.384863	7.632857	48.06491885	0.7108851	4.5286452
Norway	coast	6	FHF6-St4-Gr2-B	Farm_6	4	2	230	86	2.510294	21.384863	7.632857	48.06491885	0.7108851	4.5286452
Norway	coast	6	FHF6-St4-Gr2-C	Farm_6	4	2	230	86	2.510294	21.384863	7.632857	48.06491885	0.7108851	4.5286452
Norway	coast	6	FHF6-St4-Gr3D-A	Farm_6	4	3	230	86	NA	NA	NA	NA	NA	NA
Norway	coast	6	FHF6-St4-Gr3D-B	Farm_6	4	3	230	86	NA	NA	NA	NA	NA	NA
Norway	coast	6	FHF6-St4-Gr3D-C	Farm_6	4	3	230	86	NA	NA	NA	NA	NA	NA
Norway	coast	6	FHF6-St5-Gr1-A	Farm_6	5	1	450	87	3.018116	17.337052	7.677333	50.08818342	0.6521432	3.2163364
Norway	coast	6	FHF6-St5-Gr1-B	Farm_6	5	1	450	87	3.018116	17.337052	7.677333	50.08818342	0.6521432	3.2163364
Norway	coast	6	FHF6-St5-Gr1-C	Farm_6	5	1	450	87	3.018116	17.337052	7.677333	50.08818342	0.6521432	3.2163364
Norway	coast	6	FHF6-St5-Gr2-A	Farm_6	5	2	450	87	2.861301	18.573442	7.915714	59.30348259	0.6361098	3.5809226
Norway	coast	6	FHF6-St5-Gr2-B	Farm_6	5	2	450	87	2.861301	18.573442	7.915714	59.30348259	0.6361098	3.5809226
Norway	coast	6	FHF6-St5-Gr2-C	Farm_6	5	2	450	87	2.861301	18.573442	7.915714	59.30348259	0.6361098	3.5809226
Norway	coast	6	FHF6-St5-Gr3D-A	Farm_6	5	3	450	87	NA	NA	NA	NA	NA	NA
Norway	coast	6	FHF6-St5-Gr3D-B	Farm_6	5	3	450	87	NA	NA	NA	NA	NA	NA
Norway	coast	6	FHF6-St5-Gr3D-C	Farm_6	5	3	450	87	NA	NA	NA	NA	NA	NA
Norway	coast	7	FHF7-St1-Gr1-A	Farm_7	1	1	0	113	5.931874	6.986446	5.713333	0.5422374	0.2593943	0.9709942
Norway	coast	7	FHF7-St1-Gr1-B	Farm_7	1	1	0	113	5.931874	6.986446	5.713333	0.5422374	0.2593943	0.9709942
Norway	coast	7	FHF7-St1-Gr1-C	Farm_7	1	1	0	113	5.931874	6.986446	5.713333	0.5422374	0.2593943	0.9709942
Norway	coast	7	FHF7-St1-Gr2-A	Farm_7	1	2	0	113	5.936144	7.076154	5.968333	0.4585841	0.2592234	0.6567019
Norway	coast	7	FHF7-St1-Gr2-B	Farm_7	1	2	0	113	5.936144	7.076154	5.968333	0.4585841	0.2592234	0.6567019
Norway	coast	7	FHF7-St1-Gr2-C	Farm_7	1	2	0	113	5.936144	7.076154	5.968333	0.4585841	0.2592234	0.6567019
Norway	coast	7	FHF7-St1-Gr3D-A	Farm_7	1	3	0	113	NA	NA	NA	NA	NA	NA
Norway	coast	7	FHF7-St1-Gr3D-B	Farm_7	1	3	0	113	NA	NA	NA	NA	NA	NA
Norway	coast	7	FHF7-St1-Gr3D-C	Farm_7	1	3	0	113	NA	NA	NA	NA	NA	NA
Norway	coast	7	FHF7-St2-Gr1-A	Farm_7	2	1	100	NA	5.841079	7.662608	6.164167	1.5609265	0.3352764	0.5664111
Norway	coast	7	FHF7-St2-Gr1-B	Farm_7	2	1	100	NA	5.841079	7.662608	6.164167	1.5609265	0.3352764	0.5664111
Norway	coast	7	FHF7-St2-Gr1-C	Farm_7	2	1	100	NA	5.841079	7.662608	6.164167	1.5609265	0.3352764	0.5664111
Norway	coast	7	FHF7-St2-Gr2-A	Farm_7	2	2	100	NA	5.825975	7.844741	5.378889	1.787592	0.3288604	0.6260067
Norway	coast	7	FHF7-St2-Gr2-B	Farm_7	2	2	100	NA	5.825975	7.844741	5.378889	1.787592	0.3288604	0.6260067
